t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0831617696963,0.0848130185815,0.0828215225736,0.0827404245622,0.0827789595984,0.0830301821981,0.0834817662141,0.0849602506265,0.0845733997173,0.0817271006721,0.0834328209079,0.082478784652,1,0.04,30,5,10,7,20,10000,0.000414460027094,0.000311444942137,0.000414460027094,0.216004839025,0.0507732373893,0.0501189758638,0.000414460027094,0.000311444942137,0.000414460027094,0.216004839025,0.248814852338,0.216002526366
0.0823022458765,0.0823830267827,0.0837454098468,0.084258301203,0.083169885229,0.0833516907578,0.0843078521697,0.0830930258917,0.0822759261936,0.08323458362,0.0836029489712,0.084275103458,1,0.04,30,5,10,10,20,10000,0.000280174190092,0.000186268945336,0.000280174190092,0.213411441653,0.0511743630376,0.0459150974513,0.000280174190092,0.000186268945336,0.000280174190092,0.213411441653,0.261186244026,0.213408177527
0.0825051095893,0.0838239031275,0.0841954086907,0.0830136712242,0.0829045008058,0.0847362318349,0.0817660990349,0.0819708182701,0.0832902896315,0.0846483328466,0.0830084523188,0.0841371826256,1,0.05,30,5,10,1,20,10000,0.0710230276879,0.0674718763035,0.0710230276879,0.101973370941,0.0860404234074,0.0844156184249,0.0710230276879,0.0674718763035,0.0710230276879,0.101973370941,0.104588026798,0.101973326128
0.0833515120999,0.0834468599642,0.0837475596759,0.0839266761307,0.082841892989,0.0829911528723,0.0823496789191,0.0835309705411,0.0827495766806,0.0826858503022,0.0847176222013,0.0836606476238,1,0.05,30,5,10,3,20,10000,0.00349170151971,0.00299369759046,0.00349170151971,0.210943649134,0.0614982274751,0.0581289338882,0.00349170151971,0.00299369759046,0.00349170151971,0.210943649134,0.227588657895,0.210942681214
0.0827825318473,0.0835266564657,0.0830763906897,0.0837134108454,0.0839945080766,0.0837731215372,0.0839396474953,0.0829484609353,0.0826220741367,0.0834452893527,0.0832336170156,0.0829442916025,1,0.05,30,5,10,5,20,10000,0.000834272317385,0.000645544015876,0.000834272317385,0.21568775419,0.0534087442941,0.0501084123673,0.000834272317385,0.000645544015876,0.000834272317385,0.21568775419,0.244793052944,0.215686104713
0.0832034537464,0.0824361443205,0.0838792699704,0.0827937550698,0.0841079857806,0.0838743352526,0.0837101834684,0.0830054709619,0.0828394798671,0.0832816159671,0.0839467394878,0.0829215661074,1,0.05,30,5,10,7,20,10000,0.000402434440571,0.000281034979083,0.000402434440571,0.213808406526,0.0522479372506,0.048894355097,0.000402434440571,0.000281034979083,0.000402434440571,0.213808406526,0.255262969497,0.213806117382
0.0827384285142,0.0825894762796,0.0831990930439,0.0834243711835,0.0832510035761,0.0840314955231,0.0826558998865,0.0834941760126,0.0832505138917,0.0827370416241,0.0841346395467,0.084493860918,1,0.05,30,5,10,10,20,10000,0.000287905903804,0.000172379899632,0.000287905903804,0.209627588543,0.0520267257821,0.0475775142526,0.000287905903804,0.000172379899632,0.000287905903804,0.209627588543,0.270019817174,0.209624382291
0.0843171129719,0.0846309574237,0.0837178730258,0.0827931971967,0.0835678960638,0.0831706273661,0.0813372052366,0.08257151396,0.0829832389061,0.0833708890298,0.0844335052289,0.0831059835907,1,0.06,30,5,10,1,20,10000,0.0713253929345,0.0670458693584,0.0713253929345,0.101805861436,0.0865870438597,0.0836476578713,0.0713253929345,0.0670458693584,0.0713253929345,0.101805861436,0.104954449209,0.101805815733
0.0838270802937,0.0845673495857,0.082964797068,0.0815524711115,0.0847295497857,0.0827298846462,0.0838678995969,0.0829195140683,0.0822084390428,0.0819188989437,0.0847729959521,0.0839411199054,1,0.06,30,5,10,3,20,10000,0.00355798711413,0.0029552071692,0.00355798711413,0.209541311368,0.0633528927411,0.0582920393948,0.00355798711413,0.0029552071692,0.00355798711413,0.209541311368,0.229589732449,0.209540349883
0.0826140812348,0.082605125345,0.0841158587247,0.08390483204,0.0828609304913,0.083653967296,0.0843667305542,0.0829526086253,0.0830139697213,0.0822791300574,0.0837111799127,0.0839215859972,1,0.06,30,5,10,5,20,10000,0.000852383400587,0.000625567606318,0.000852383400587,0.21403567782,0.0538969457554,0.0500932945244,0.000852383400587,0.000625567606318,0.000852383400587,0.21403567782,0.249243694289,0.214034040977
0.083887010387,0.0839306663813,0.0821837754674,0.082390575005,0.0839669464872,0.0830479151558,0.083165339421,0.0822908016331,0.0854855812252,0.083332545691,0.082965831247,0.0833530118992,1,0.06,30,5,10,7,20,10000,0.000431064745664,0.000279535829209,0.000431064745664,0.21144151247,0.053755822204,0.0479507790176,0.000431064745664,0.000279535829209,0.000431064745664,0.21144151247,0.261687794529,0.211439248668
0.082982189126,0.0833991360931,0.0835901080253,0.0836283417439,0.0847874469497,0.08415899405,0.0824164317755,0.0831797897301,0.0830218476697,0.0815670785245,0.0838373983406,0.0834312379715,1,0.06,30,5,10,10,20,10000,0.000309031249407,0.000166448901658,0.000309031249407,0.206074730809,0.0535919084706,0.0471701889262,0.000309031249407,0.000166448901658,0.000309031249407,0.206074730809,0.279447839286,0.206071578898
0.0831232270171,0.0830921799911,0.0834245086359,0.0835615060029,0.0820416573577,0.0828568980838,0.082871987115,0.0839750470812,0.0840123529913,0.0841706328065,0.083457572345,0.0834124305726,1,0.07,30,5,10,1,20,10000,0.0712887352279,0.0662985237619,0.0712887352279,0.102166987087,0.086426387554,0.0834482319462,0.0712887352279,0.0662985237619,0.0712887352279,0.102166987087,0.105872477298,0.102166940592
0.0831859849735,0.0830617056991,0.0823950733437,0.0834375114272,0.0840936477867,0.0831853701784,0.0824843210705,0.0841323071899,0.0836424133642,0.0846724965976,0.0828063174663,0.0829028509028,1,0.07,30,5,10,3,20,10000,0.00356417436357,0.00286686859856,0.00356417436357,0.208818269202,0.0637369643663,0.0574463432747,0.00356417436357,0.00286686859856,0.00356417436357,0.208818269202,0.232372408269,0.208817311035
0.0838834519076,0.0825945067007,0.0846686555859,0.0835887465995,0.0813425705308,0.0830423414381,0.0822062341505,0.084207248218,0.0837818574001,0.0832567124017,0.083611479112,0.0838161959553,1,0.07,30,5,10,5,20,10000,0.00087049240933,0.000605591444735,0.00087049240933,0.212574213798,0.0537311645045,0.0498330401401,0.00087049240933,0.000605591444735,0.00087049240933,0.212574213798,0.2540216271,0.212572588132
0.082020406531,0.0846584341028,0.0829479377207,0.0832284656607,0.0839277239231,0.0832835900278,0.0833419098025,0.0830810067899,0.0830827436114,0.0834781949554,0.0849309354058,0.0820186514689,1,0.07,30,5,10,7,20,10000,0.000435467801407,0.000262021355228,0.000435467801407,0.209200414083,0.0541041215501,0.0475789294858,0.000435467801407,0.000262021355228,0.000435467801407,0.209200414083,0.268452032607,0.209198174275
