alpha,k,sample_amount,learning_parameter,epsilon,delta,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.1,1,1,5,0.8,0.3,0.0760669051948,0.0760669051948,0.0760669051948,0.038394054736,0.0477659246629,0.0666950352679,0.0760669051948,0.0760669051948,0.0760669051948,0.168601618282,0.100404403816,0.121737532067
0.1,1,1,5,0.8,0.5,0.0713414690992,0.0713414690992,0.0713414690992,0.0407341054049,0.0518888877401,0.060186686764,0.0713414690992,0.0713414690992,0.0713414690992,0.180909776398,0.113861952527,0.124369776571
0.1,1,1,5,0.8,0.8,0.068230556024,0.068230556024,0.068230556024,0.0422746392467,0.0557341451266,0.0547710501441,0.068230556024,0.068230556024,0.068230556024,0.189012649708,0.124014503767,0.124809675864
0.1,1,1,10,0.1,0.1,0.0378155740833,0.0378155740833,0.0378155740833,0.0147476608665,0.0254748361398,0.02708839881,0.0378155740833,0.0378155740833,0.0378155740833,0.336478860643,0.18284421132,0.186472587721
0.1,1,1,10,0.1,0.3,0.046003363236,0.046003363236,0.046003363236,0.0136197468501,0.0331997751611,0.026423334925,0.046003363236,0.046003363236,0.046003363236,0.310229537388,0.191375429545,0.149131996715
0.1,1,1,10,0.1,0.5,0.0570118130292,0.0570118130292,0.0570118130292,0.0121032709627,0.0406948973546,0.0284201866373,0.0570118130292,0.0570118130292,0.0570118130292,0.274937427178,0.192370756553,0.10940258314
0.1,1,1,10,0.1,0.8,0.0664489116738,0.0664489116738,0.0664489116738,0.0108032575358,0.0512244768533,0.0260276923563,0.0664489116738,0.0664489116738,0.0664489116738,0.244682928889,0.180878912262,0.087689262061
0.1,1,1,10,0.3,0.1,0.0464998213625,0.0464998213625,0.0464998213625,0.0135513569503,0.0283467987069,0.0317043796059,0.0464998213625,0.0464998213625,0.0464998213625,0.308637936822,0.148482856033,0.190277743706
0.1,1,1,10,0.3,0.3,0.059620298209,0.059620298209,0.059620298209,0.0117439374551,0.0355420463069,0.0358221893572,0.059620298209,0.059620298209,0.059620298209,0.266574855864,0.153730273492,0.138864908271
0.1,1,1,10,0.3,0.5,0.0624709889604,0.0624709889604,0.0624709889604,0.0113512387675,0.0423820020209,0.031440225707,0.0624709889604,0.0624709889604,0.0624709889604,0.257435795046,0.164167084489,0.118397720207
0.1,1,1,10,0.3,0.8,0.070236094726,0.070236094726,0.070236094726,0.0102815517654,0.0495912538455,0.0309263926459,0.070236094726,0.070236094726,0.070236094726,0.232541557108,0.146382148226,0.108860528053
