t11_initial,alpha,k,sample_amount,learning_parameter,epsilon,delta,t11_final
0.0830261051324,0.1,1,10,5,0.5,0.8,0.132897966419
0.0831370615655,0.1,1,10,5,0.8,0.1,0.0886479266931
0.0849971585321,0.1,1,10,5,0.8,0.3,0.0945611629708
0.0821903357006,0.1,1,10,5,0.8,0.5,0.108590937055
0.0820648774577,0.1,1,10,5,0.8,0.8,0.139581014484
0.084013281044,0.1,1,10,10,0.1,0.1,0.218771689315
0.0821295311361,0.1,1,10,10,0.1,0.3,0.207831296879
0.0816723445763,0.1,1,10,10,0.1,0.5,0.189274243851
0.0821712130856,0.1,1,10,10,0.1,0.8,0.179174738561
0.0845874661391,0.1,1,10,10,0.3,0.1,0.158291086774
0.0823605239313,0.1,1,10,10,0.3,0.3,0.14842511473
0.0826465324977,0.1,1,10,10,0.3,0.5,0.151618195744
0.0844201681315,0.1,1,10,10,0.3,0.8,0.165486202037
0.0828556384742,0.1,1,10,10,0.5,0.1,0.106353795118
0.0833086905787,0.1,1,10,10,0.5,0.3,0.108529859157
0.0813958853699,0.1,1,10,10,0.5,0.5,0.125313510999
0.0813414576356,0.1,1,10,10,0.5,0.8,0.158304508747
0.0838396425909,0.1,1,10,10,0.8,0.1,0.0778206242992
0.0832929601569,0.1,1,10,10,0.8,0.3,0.0891060577799
0.0845051361319,0.1,1,10,10,0.8,0.5,0.109761846199
0.0834432672018,0.1,1,10,10,0.8,0.8,0.16119196717
0.0834739807651,0.1,1,10,15,0.1,0.1,0.226956242464
0.0834926449609,0.1,1,10,15,0.1,0.3,0.214257890927
0.0843897810418,0.1,1,10,15,0.1,0.5,0.199422719496
0.0804475307436,0.1,1,10,15,0.1,0.8,0.187728775234
0.0819389810142,0.1,1,10,15,0.3,0.1,0.163722645736
0.083816106788,0.1,1,10,15,0.3,0.3,0.151478807068
0.0825949853723,0.1,1,10,15,0.3,0.5,0.164721011184
0.0831329750121,0.1,1,10,15,0.3,0.8,0.172530511324
0.0840338434621,0.1,1,10,15,0.5,0.1,0.097877382316
0.0825609189036,0.1,1,10,15,0.5,0.3,0.106858514236
0.0842663567804,0.1,1,10,15,0.5,0.5,0.122424397845
0.0821559035872,0.1,1,10,15,0.5,0.8,0.162846708506
0.0864184455256,0.1,1,10,15,0.8,0.1,0.0695267402308
0.0822746177531,0.1,1,10,15,0.8,0.3,0.0797490663284
0.0850555677456,0.1,1,10,15,0.8,0.5,0.103400559983
0.0824321997838,0.1,1,10,15,0.8,0.8,0.166625156126
0.0837703834692,0.1,1,15,1,0.1,0.1,0.0849094863427
0.0828633355468,0.1,1,15,1,0.1,0.3,0.0800419713739
0.0833514461979,0.1,1,15,1,0.1,0.5,0.0768195560412
0.082702449489,0.1,1,15,1,0.1,0.8,0.0750744723737
0.0837975661362,0.1,1,15,1,0.3,0.1,0.0781654465635
0.0838455823962,0.1,1,15,1,0.3,0.3,0.0736705955588
0.0841387996515,0.1,1,15,1,0.3,0.5,0.0726532477799
0.0833353367705,0.1,1,15,1,0.3,0.8,0.0741765236738
0.0824287051395,0.1,1,15,1,0.5,0.1,0.0715248586712
0.0819641541196,0.1,1,15,1,0.5,0.3,0.0695000207507
0.0834681703249,0.1,1,15,1,0.5,0.5,0.0705018392632
0.0816647660409,0.1,1,15,1,0.5,0.8,0.074420059332
0.0828646317735,0.1,1,15,1,0.8,0.1,0.0650575600003
0.084140801755,0.1,1,15,1,0.8,0.3,0.0662254904361
0.0836172222213,0.1,1,15,1,0.8,0.5,0.069297345332
0.0852660106837,0.1,1,15,1,0.8,0.8,0.0769928167392
0.085908492087,0.1,1,15,3,0.1,0.1,0.135423166787
0.0822902074327,0.1,1,15,3,0.1,0.3,0.122784356779
0.0849481215011,0.1,1,15,3,0.1,0.5,0.111753947327
0.0818636317336,0.1,1,15,3,0.1,0.8,0.10455942149
0.0831980594532,0.1,1,15,3,0.3,0.1,0.112893485659
0.0845879972202,0.1,1,15,3,0.3,0.3,0.102651959059
0.0833245103659,0.1,1,15,3,0.3,0.5,0.099677712032
0.0823183355241,0.1,1,15,3,0.3,0.8,0.101085813494
0.0828677227861,0.1,1,15,3,0.5,0.1,0.095321207768
0.083192203743,0.1,1,15,3,0.5,0.3,0.0909443543103
0.0828362224913,0.1,1,15,3,0.5,0.5,0.0918095693843
0.0831178437071,0.1,1,15,3,0.5,0.8,0.103968040825
0.0816752239612,0.1,1,15,3,0.8,0.1,0.0818936708324
0.0815632538659,0.1,1,15,3,0.8,0.3,0.0836453363238
0.0832113797198,0.1,1,15,3,0.8,0.5,0.0900244168934
0.0833770301364,0.1,1,15,3,0.8,0.8,0.110644090191
0.0843934068158,0.1,1,15,5,0.1,0.1,0.180975427791
0.0836141329689,0.1,1,15,5,0.1,0.3,0.161955391398
0.0836746270918,0.1,1,15,5,0.1,0.5,0.147343445158
0.0846410586206,0.1,1,15,5,0.1,0.8,0.140219934265
0.0838380974735,0.1,1,15,5,0.3,0.1,0.141878836078
0.0835476603416,0.1,1,15,5,0.3,0.3,0.127474280166
0.0845376447979,0.1,1,15,5,0.3,0.5,0.125329119862
0.0840363837853,0.1,1,15,5,0.3,0.8,0.131161087245
0.0827855124108,0.1,1,15,5,0.5,0.1,0.110755487692
0.0847142216346,0.1,1,15,5,0.5,0.3,0.106202290216
0.0829098964511,0.1,1,15,5,0.5,0.5,0.110090078256
0.0834492391323,0.1,1,15,5,0.5,0.8,0.131700553367
0.0836397433525,0.1,1,15,5,0.8,0.1,0.0884018583787
0.0813799838516,0.1,1,15,5,0.8,0.3,0.0930028611737
0.0831827115542,0.1,1,15,5,0.8,0.5,0.105992932447
0.0824175303617,0.1,1,15,5,0.8,0.8,0.140500835536
0.0830466353504,0.1,1,15,10,0.1,0.1,0.219744283795
0.0848189872519,0.1,1,15,10,0.1,0.3,0.199586769006
0.0816108924095,0.1,1,15,10,0.1,0.5,0.193657090053
0.0828063192644,0.1,1,15,10,0.1,0.8,0.183538687351
0.0842456890639,0.1,1,15,10,0.3,0.1,0.161243390481
0.083091682053,0.1,1,15,10,0.3,0.3,0.146806941237
0.0829125339129,0.1,1,15,10,0.3,0.5,0.153303382556
0.0826140734325,0.1,1,15,10,0.3,0.8,0.171333722324
0.0837318745766,0.1,1,15,10,0.5,0.1,0.108098836259
0.0840518206619,0.1,1,15,10,0.5,0.3,0.111239716874
0.0820323732603,0.1,1,15,10,0.5,0.5,0.127563271862
0.0809396153394,0.1,1,15,10,0.5,0.8,0.167434910104
0.0838723323021,0.1,1,15,10,0.8,0.1,0.0749011644827
0.083813561864,0.1,1,15,10,0.8,0.3,0.0875181369925
0.0848639678806,0.1,1,15,10,0.8,0.5,0.109866354824
0.0835779851186,0.1,1,15,10,0.8,0.8,0.163364711852
0.0849881089521,0.1,1,15,15,0.1,0.1,0.220885056655
0.0814684791555,0.1,1,15,15,0.1,0.3,0.20723470503
0.0818676153182,0.1,1,15,15,0.1,0.5,0.195828778984
0.0819188480052,0.1,1,15,15,0.1,0.8,0.185558118936
0.0827353236558,0.1,1,15,15,0.3,0.1,0.157229600899
0.0823284089338,0.1,1,15,15,0.3,0.3,0.148179006464
0.0828001986228,0.1,1,15,15,0.3,0.5,0.157334010065
0.0825135642302,0.1,1,15,15,0.3,0.8,0.174995265648
0.0858500828318,0.1,1,15,15,0.5,0.1,0.10362534865
0.0823606312487,0.1,1,15,15,0.5,0.3,0.106377041679
0.0819438812193,0.1,1,15,15,0.5,0.5,0.125550156059
0.0840721582683,0.1,1,15,15,0.5,0.8,0.167224003247
0.0838760751392,0.1,1,15,15,0.8,0.1,0.0698723808042
0.0833274352684,0.1,1,15,15,0.8,0.3,0.0785730131126
0.0818799322853,0.1,1,15,15,0.8,0.5,0.103117479546
0.0809899983101,0.1,1,15,15,0.8,0.8,0.166639589821
0.0850034183333,0.1,1,30,1,0.1,0.1,0.085416198589
0.0835222293158,0.1,1,30,1,0.1,0.3,0.0804146210888
0.0828217221962,0.1,1,30,1,0.1,0.5,0.0777552538389
0.0845754063506,0.1,1,30,1,0.1,0.8,0.0752957145722
0.0832440634586,0.1,1,30,1,0.3,0.1,0.0785042708677
0.0824195742971,0.1,1,30,1,0.3,0.3,0.0737805475965
0.0828137531708,0.1,1,30,1,0.3,0.5,0.0727049741427
0.0845566071473,0.1,1,30,1,0.3,0.8,0.0738513182127
0.084000030092,0.1,1,30,1,0.5,0.1,0.0714692839939
0.081831070408,0.1,1,30,1,0.5,0.3,0.0696113768825
0.0837098186729,0.1,1,30,1,0.5,0.5,0.0698372690988
0.0810419062719,0.1,1,30,1,0.5,0.8,0.0742472711191
0.0838810096578,0.1,1,30,1,0.8,0.1,0.0649810649265
0.082400729884,0.1,1,30,1,0.8,0.3,0.0666380187067
0.0837765894177,0.1,1,30,1,0.8,0.5,0.069608094935
0.0826692546404,0.1,1,30,1,0.8,0.8,0.0773512348255
